species,label
21038,0
21116,1
21211,2
22333,3
22973,4
22976,5
24272,6
24292,7
24322,8
41663,9
41778,10
41970,11
42007,12
42087,13
42113,14
46010,15
47067,16
48124,17
50186,18
52884,19
64862,20
65336,21
65344,22
65349,23
65373,24
65419,25
65448,26
65547,27
65962,28
66016,29
66531,30
66578,31
66893,32
67082,33
67252,34
81930,35
126247,36
134933,37
135045,38
476537,39
476538,40
517119,41
523060,42
528041,43
548639,44
555086,45
555142,46
566513,47
714022,48
715170,49
787625,50
868458,51
963335,52
1139490,53
1192948,54
1194042,55
1346504,56
1462711,57
1462737,58
1564122,59
amakin1,60
amekes,61
ampkin1,62
anhing,63
babwar,64
bafibi1,65
banana,66
baymac,67
bbwduc,68
bicwre1,69
bkcdon,70
bkmtou1,71
blbgra1,72
blbwre1,73
blcant4,74
blchaw1,75
blcjay1,76
blctit1,77
blhpar1,78
blkvul,79
bobfly1,80
bobher1,81
brtpar1,82
bubcur1,83
bubwre1,84
bucmot3,85
bugtan,86
butsal1,87
cargra1,88
cattyr,89
chbant1,90
chfmac1,91
cinbec1,92
cocher1,93
cocwoo1,94
colara1,95
colcha1,96
compau,97
compot1,98
cotfly1,99
crbtan1,100
crcwoo1,101
crebob1,102
cregua1,103
creoro1,104
eardov1,105
fotfly,106
gohman1,107
grasal4,108
grbhaw1,109
greani1,110
greegr,111
greibi1,112
grekis,113
grepot1,114
gretin1,115
grnkin,116
grysee1,117
gybmar,118
gycwor1,119
labter1,120
laufal1,121
leagre,122
linwoo1,123
littin1,124
mastit1,125
neocor,126
norscr1,127
olipic1,128
orcpar,129
palhor2,130
paltan1,131
pavpig2,132
piepuf1,133
pirfly1,134
piwtyr1,135
plbwoo1,136
plctan1,137
plukit1,138
purgal2,139
ragmac1,140
rebbla1,141
recwoo1,142
rinkin1,143
roahaw,144
rosspo1,145
royfly1,146
rtlhum,147
rubsee1,148
rufmot1,149
rugdov,150
rumfly1,151
ruther1,152
rutjac1,153
rutpuf1,154
saffin,155
sahpar1,156
savhaw1,157
secfly1,158
shghum1,159
shtfly1,160
smbani,161
snoegr,162
sobtyr1,163
socfly1,164
solsan,165
soulap1,166
spbwoo1,167
speowl1,168
spepar1,169
srwswa1,170
stbwoo2,171
strcuc1,172
strfly1,173
strher,174
strowl1,175
tbsfin1,176
thbeup1,177
thlsch3,178
trokin,179
tropar,180
trsowl,181
turvul,182
verfly,183
watjac1,184
wbwwre1,185
whbant1,186
whbman1,187
whfant1,188
whmtyr1,189
whtdov,190
whttro1,191
whwswa1,192
woosto,193
y00678,194
yebela1,195
yebfly1,196
yebsee1,197
yecspi2,198
yectyr1,199
yehbla2,200
yehcar1,201
yelori1,202
yeofly1,203
yercac1,204
ywcpar,205
